20:44:58.791 INFO     Starting ED Autopilot V1.7.0 beta 1.
20:44:58.805 INFO     Reading ED graphics display settings from 'C:\Users\kiyos\AppData\Local\Frontier Developments\Elite Dangerous\Options\Graphics\DisplaySettings.xml'.
20:44:58.805 INFO     Reading ED graphics settings from 'C:\Users\kiyos\AppData\Local\Frontier Developments\Elite Dangerous\Options\Graphics\Settings.xml'.
20:44:58.805 DEBUG    Elite Dangerous Display Config 'ScreenWidth': 3440.
20:44:58.805 DEBUG    Elite Dangerous Display Config 'ScreenHeight': 1440.
20:44:58.805 DEBUG    Elite Dangerous Display Config 'Fullscreen': Borderless.
20:44:58.805 DEBUG    Elite Dangerous Display Config 'Monitor': 0.
20:44:58.805 DEBUG    Elite Dangerous Graphics Options 'FOV': 54.320000.
20:44:58.809 DEBUG    Found Elite Dangerous window position: (0, 0, 3440, 1440)
20:44:58.809 DEBUG    Found monitor 1 with details: {'left': 0, 'top': 0, 'width': 3440, 'height': 1440}
20:44:58.809 DEBUG    Elite Dangerous is on monitor 1.
20:44:58.809 DEBUG    Found monitor 2 with details: {'left': 3440, 'top': -434, 'width': 1440, 'height': 2560}
20:44:58.810 DEBUG    read json:{'1024x768': [0.39, 0.39], '1080x1080': [0.5, 0.5], '1280x800': [0.48, 0.48], '1280x1024': [0.5, 0.5], '1600x900': [0.6, 0.6], '1920x1080': [0.75, 0.75], '1920x1200': [0.73, 0.73], '1920x1440': [0.8, 0.8], '2560x1080': [0.75, 0.75], '2560x1440': [1.0, 1.0], '3440x1440': [1.0, 1.0], '3840 x 2160': [1.52, 1.52], 'Calibrated': [-1.0, -1.0]}
20:44:58.810 DEBUG    screen size: 3440 1440
20:44:58.810 DEBUG    Default scale X, Y: 1.0, 1.0
20:45:02.235 INFO     Opening new Journal: C:\Users\kiyos\Saved Games\Frontier Developments\Elite Dangerous\Journal.2025-08-27T144242.01.log
20:45:02.252 DEBUG    Journal*.log: read: 1 ship: {'time': 272, 'odyssey': True, 'status': 'in_space', 'type': None, 'location': None, 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': None, 'fuel_level': None, 'fuel_percent': 10, 'is_scooping': False, 'cur_star_system': '', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': None, 'ship_size': None, 'has_fuel_scoop': None, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': None, 'has_std_dock_comp': None, 'has_sco_fsd': None, 'StationServices': None}
20:45:02.253 DEBUG    Journal*.log: read: 8 ship: {'time': 272, 'odyssey': True, 'status': 'in_space', 'type': 'panthermkii', 'location': None, 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': '', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': None, 'ship_size': 'L', 'has_fuel_scoop': None, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': None, 'has_std_dock_comp': None, 'has_sco_fsd': None, 'StationServices': None}
20:45:02.253 DEBUG    Journal*.log: read: 13 ship: {'time': 272, 'odyssey': True, 'status': 'in_space', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': None, 'ship_size': 'L', 'has_fuel_scoop': None, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': None, 'has_std_dock_comp': None, 'has_sco_fsd': None, 'StationServices': None}
20:45:02.253 DEBUG    Journal*.log: read: 18 ship: {'time': 272, 'odyssey': True, 'status': 'in_space', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': None, 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': None}
20:45:02.256 DEBUG    Journal*.log: read: 23 ship: {'time': 272, 'odyssey': True, 'status': 'dockingdenied', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': None}
20:45:02.256 DEBUG    Journal*.log: read: 25 ship: {'time': 272, 'odyssey': True, 'status': 'starting_docking', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': None}
20:45:02.256 DEBUG    Journal*.log: read: 28 ship: {'time': 272, 'odyssey': True, 'status': 'dockinggranted', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': '', 'cur_station_type': '', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': None}
20:45:02.256 DEBUG    Journal*.log: read: 30 ship: {'time': 272, 'odyssey': True, 'status': 'in_station', 'type': 'panthermkii', 'location': 'Ba Po', 'star_class': None, 'target': None, 'fighter_destroyed': False, 'shieldsup': True, 'under_attack': None, 'interdicted': False, 'no_dock_reason': 'Distance', 'mission_completed': 0, 'mission_redirected': 0, 'body': None, 'dist_jumped': 0, 'jumps_remains': 0, 'fuel_capacity': 128.0, 'fuel_level': 119.771027, 'fuel_percent': 94, 'is_scooping': False, 'cur_star_system': 'Ba Po', 'cur_station': 'Mullane Mines', 'cur_station_type': 'Coriolis', 'cargo_capacity': 1232, 'ship_size': 'L', 'has_fuel_scoop': False, 'SupercruiseDestinationDrop_type': None, 'has_adv_dock_comp': True, 'has_std_dock_comp': False, 'has_sco_fsd': True, 'StationServices': ['dock', 'autodock', 'blackmarket', 'commodities', 'contacts', 'exploration', 'missions', 'outfitting', 'crewlounge', 'rearm', 'refuel', 'repair', 'shipyard', 'tuning', 'engineer', 'missionsgenerated', 'flightcontroller', 'stationoperations', 'powerplay', 'searchrescue', 'materialtrader', 'stationMenu', 'shop', 'livery', 'socialspace', 'bartender', 'vistagenomics', 'pioneersupplies', 'apexinterstellar', 'frontlinesolutions', 'registeringcolonisation']}
